    0.500461975819730398E-01    0.259985191252692459E+03    0.960213781307661662E-01    0.150034725866533463E+05    0.959404553317580872E-01    0.265731437034651492E+02    0.276975376149470264E+03    0.269696095119634538E+04
    0.500706548309687929E-01    0.244940793954659995E+03    0.106537344387622232E+00    0.150108046854457116E+05    0.106504360532559947E+00    0.277774912875491928E+02    0.260810835806644832E+03    0.269699414345777222E+04
    0.500611442062338929E-01    0.248085578804450023E+03    0.108558417462852885E+00    0.150079534718793166E+05    0.108486299154212401E+00    0.286661619063785373E+02    0.264237623827777725E+03    0.269812368735533209E+04
    0.500661310286570418E-01    0.240531554943336232E+03    0.103086736401019202E+00    0.150094484836311804E+05    0.103063431478145548E+00    0.263931538270723394E+02    0.256086503704943766E+03    0.269816695175411860E+04
    0.500441472931228357E-01    0.234258532654442973E+03    0.102415872136728481E+00    0.150028579255193545E+05    0.102320168038510906E+00    0.255383898381919927E+02    0.249592923152549389E+03    0.269888035559541095E+04
    0.500419315390668307E-01    0.268056234647747772E+03    0.997458639362909516E-01    0.150021936591645590E+05    0.996861391317070827E-01    0.284605096956067776E+02    0.285501173417943733E+03    0.269890218088991605E+04
    0.500494235836482365E-01    0.243911201443155647E+03    0.110715217340858804E+00    0.150044397176250768E+05    0.110599759780284843E+00    0.287455252568975332E+02    0.259905856161015095E+03    0.269896742162761711E+04
    0.500353761806605901E-01    0.229554280014544844E+03    0.110604317896747767E+00    0.150002284121548746E+05    0.110592563952263745E+00    0.270261424210291636E+02    0.244375765017029067E+03    0.269907377512624316E+04
    0.500528217865057884E-01    0.247964585253721424E+03    0.985652923376162671E-01    0.150054584732125204E+05    0.984654178433759658E-01    0.260175612241045719E+02    0.264230445510213656E+03    0.269921228531184761E+04
    0.500269757766918927E-01    0.256101675907561457E+03    0.106959907532337056E+00    0.149977100344009341E+05    0.106887566950775781E+00    0.291578603979465711E+02    0.272790009443983706E+03    0.269940103872272948E+04
    0.500574342065330941E-01    0.252140146483308115E+03    0.985731394831779739E-01    0.150068412419498345E+05    0.984889440930853399E-01    0.264552404668182959E+02    0.268611271147495756E+03    0.269941745087195068E+04
    0.500497377057982085E-01    0.249938464280287235E+03    0.109123978747378406E+00    0.150045338890765415E+05    0.109015175073601936E+00    0.290321822621641061E+02    0.266313219628028264E+03    0.269943754897441431E+04
    0.500358924529962362E-01    0.242146243645152737E+03    0.995993545112333900E-01    0.150003831867073932E+05    0.995836444054688102E-01    0.256720101043607372E+02    0.257793438446915445E+03    0.269980103041664370E+04
    0.500227444765782431E-01    0.232630431152969152E+03    0.108561945703941717E+00    0.149964415225393332E+05    0.108446394564769052E+00    0.268832370036100130E+02    0.247894244077926800E+03    0.269984799880359878E+04
    0.500430234886952499E-01    0.243150658268832700E+03    0.110875111993218547E+00    0.150025210174276654E+05    0.110786280915039892E+00    0.286970813723718905E+02    0.259031002172364595E+03    0.269985071942952891E+04
    0.500368254424384123E-01    0.266436307256987448E+03    0.991606706858511183E-01    0.150006628899055358E+05    0.991389614374395961E-01    0.281229912845496948E+02    0.283672441962147843E+03    0.270003011683021850E+04
    0.500596140324179664E-01    0.245921566431463788E+03    0.100422492087750045E+00    0.150074947373098839E+05    0.100344163969826899E+00    0.262867575277173238E+02    0.261965982751340164E+03    0.270006868293772186E+04
    0.500632329102008444E-01    0.255427465323804142E+03    0.100429996667820542E+00    0.150085796495755894E+05    0.100382885165242797E+00    0.273043727498525470E+02    0.272002271153156528E+03    0.270008947774301760E+04
    0.500485387271738941E-01    0.246105415198443239E+03    0.109897528283808193E+00    0.150041744443276730E+05    0.109786635761876541E+00    0.287902072376422247E+02    0.262237812807081582E+03    0.270012984522329134E+04
    0.500637345134982356E-01    0.239056383129381857E+03    0.106495470215639682E+00    0.150087300264610494E+05    0.106443594074222700E+00    0.270991389003836538E+02    0.254586846076312781E+03    0.270012988138712353E+04
    0.500445355871731862E-01    0.238943439280969841E+03    0.100911225095634369E+00    0.150029743331471418E+05    0.100818428055451895E+00    0.256658751994303564E+02    0.254575236833822458E+03    0.270014463135621372E+04
    0.500546410898933189E-01    0.245484116974179187E+03    0.997419434503658275E-01    0.150060038866469222E+05    0.996421477444702913E-01    0.260633832388312463E+02    0.261569866053771932E+03    0.270017278163061064E+04
    0.500646977727387671E-01    0.247504227574335232E+03    0.106339575858881277E+00    0.150090188043164762E+05    0.106301006341627813E+00    0.280155111138290280E+02    0.263548879526063899E+03    0.270019633509168852E+04
    0.500628063356221564E-01    0.252184178409365842E+03    0.100292277918086592E+00    0.150084517657341294E+05    0.100240450567955705E+00    0.269211939358259080E+02    0.268566170476012587E+03    0.270022869167778617E+04
